UserID;FIL1;FIL2;FIL3;USE.MA;USE.CS;USE.PT;USE.RP;USE.LO;USE.RS;USE.ALL;MS;USE.MS;QUAL.MS;USE1;USE2;USE3;USE4;USE5;USE6;USE7;UI1;UI2;UI3;SAT1;SAT2;SAT3;LOY1;LOY2;LOY3;PE1;PE2;PE3;PE4;PE5;EE1;EE2;EE3;EE4;SI1;SI2;SI3;SI4;FC1;FC2;FC3;FC4;HM1;HM2;HM3;HM4;PV1;PV2;PV3;HT1;HT2;HT3;HT4;HT5;IND1;IND2;IND3;IND4;IND5;MRE1;MRE2;MRE3;MRE4;FLE1;FLE2;FLE3;FLE4;REL1;REL2;TIM1;TIM2;COS1;COS2;DRI1;DRI2;DRI3;DRI4;DRI5;OCC1;OCC2;OCC3;SUP1;SUP2;SUP3;SUP4;OPT1;OPT2;OPT3;OPT4;INN1;INN2;INN3;INN4;DIS1;DIS2;DIS3;DIS4;INS1;INS2;INS3;INS4;INE1;INE2;INE3;EXP1;EXP2;EXP3;EXP4;EXP5;EXP6;MPT1;MPT2;MPT3;MPT4;MPT5;MPT6;MPW1;MPW2;MPW3;MPW4;MPW5;MPW6;SOC1;SOC2;SOC3;SOC4;SOC5;SOC6;MOS1;MOS2;MOS3;MOS5;MOS4;MOS6;MOS7;MOS8;MOS9;MOE1;MOE2;MOE3;MOE4;MOE5;MOE6;DTWmax;MPT
4842687290;A;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4842669747;A;A;A;2;1;1;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4842553895;A;A;A;1;1;6;1;6;1;6;App des lokalen Verkehrsverbundes;5;5;4;4;2;2;2;3;2;2;2;2;4;4;4;3;3;3;3;4;4;3;3;2;3;3;2;4;3;4;3;4;5;5;3;2;2;2;2;3;4;3;4;3;4;3;4;4;2;3;2;2;2;2;1;2;1;2;2;2;2;3;3;1;3;3;2;2;2;3;2;1;1;1;4;4;4;4;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;1;1;1;5;5;5;5;5;5;7;4;1;1;3;2;3;2;3;3;3;3;D;B;B;D;B;B;F;C;C;C;B;3;A;A;B;A;B;B;B;B;A;10;A
4842484881;A;A;A;5;1;1;1;1;1;1;Karten;5;5;6;6;2;6;2;2;6;6;6;6;6;6;6;6;4;4;4;4;6;5;5;6;4;4;6;4;4;4;6;6;6;5;5;4;4;4;4;4;4;4;6;2;4;3;2;5;6;6;3;6;5;6;4;5;5;5;5;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;4;3;2;4;4;2;3;3;2;4;3;4;2;4;6;4;5;5;5;5;1;1;1;2;7;1;1;1;3;2;5;3;1;1;B;A;C;D;B;C;B;E;F;F;D;1;A;E;D;B;B;B;A;A;A;100;A
4842432242;A;A;A;2;1;3;2;1;1;2;Offi;3;4;3;4;5;4;3;2;4;5;4;5;4;5;5;5;3;4;3;2;5;5;5;4;3;3;5;2;2;4;4;6;6;4;5;4;4;2;4;4;4;1;4;2;2;4;4;4;4;4;4;4;4;4;3;4;4;4;3;5;4;4;4;4;4;4;2;4;2;4;4;5;5;7;4;1;1;4;4;3;3;3;3;3;2;4;3;1;3;3;4;5;3;3;4;7;5;5;5;5;5;1;1;1;5;6;2;1;1;1;1;1;1;1;4;E;A;B;D;B;C;A;A;C;B;D;1;A;A;B;B;B;B;A;A;B;10;A
4842425087;A;A;B;3;1;2;1;1;1;3;Swoodoo;2;5;3;2;6;6;6;2;2;3;2;3;5;5;5;3;3;3;5;3;5;5;5;6;5;5;6;2;2;2;3;6;6;6;2;3;3;3;3;5;5;5;2;2;2;2;2;2;6;6;6;6;4;4;5;5;5;5;2;5;5;5;5;5;5;5;5;3;3;3;5;3;5;6;2;5;2;5;5;5;5;5;2;5;5;5;2;1;4;4;5;2;4;4;6;6;6;5;5;5;5;1;1;3;2;7;3;2;1;1;3;2;4;5;4;C;A;C;D;A;C;A;B;D;C;D;1;B;A;B;B;B;B;A;A;A;30;A
4842345859;A;A;A;5;1;2;1;1;1;3;GoogleMaps;3;5;4;3;5;6;2;3;5;6;4;4;5;6;6;4;6;6;3;3;5;6;6;7;6;6;6;6;1;6;6;6;6;6;4;5;6;5;5;4;4;3;4;4;3;5;4;5;6;4;6;6;7;7;6;7;6;6;6;6;6;7;7;6;5;5;3;4;3;4;4;5;2;3;4;5;4;5;4;4;4;4;4;3;4;4;2;3;2;3;4;2;4;4;5;5;5;5;5;5;5;3;1;1;1;7;1;1;1;1;2;2;1;5;5;C;A;B;D;B;B;B;B;B;A;D;1;A;B;C;B;B;B;A;A;B;5;A
4842307292;A;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4842231594;A;A;A;4;1;3;4;1;1;4;GoogleMaps;5;6;5;3;7;6;1;5;5;6;5;6;6;6;6;6;6;6;6;6;7;6;7;6;6;6;6;1;1;1;5;6;6;6;1;5;5;3;4;6;6;6;5;1;1;6;5;6;7;6;6;7;5;6;6;7;7;7;6;7;6;6;6;6;6;5;4;4;4;4;4;6;5;6;1;7;1;6;5;4;4;4;3;4;5;4;1;2;1;2;3;4;2;2;7;6;6;5;5;5;5;1;1;1;4;6;3;1;1;2;2;4;1;4;2;B;A;C;D;B;C;A;B;F;E;D;1;A;C;D;B;B;B;A;A;B;100;A
4842186907;A;A;A;7;1;5;1;3;5;6;GoogleMaps;7;7;5;7;2;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;5;5;7;5;7;7;7;7;7;7;7;7;7;7;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4842127073;A;A;A;7;5;7;2;4;2;6;Karten;6;4;7;6;3;6;2;2;6;6;6;6;6;6;6;6;6;6;5;4;6;6;5;6;4;6;6;4;2;6;6;5;6;2;6;5;5;4;6;2;4;4;5;2;2;2;3;5;5;6;6;5;4;6;2;6;7;6;6;6;6;5;6;5;2;2;2;2;2;2;4;4;2;2;4;2;4;5;4;4;3;4;3;2;4;4;4;3;4;3;4;5;4;4;4;6;5;5;5;5;5;5;5;1;7;6;5;6;1;1;2;1;3;5;4;C;B;D;H;A;B;A;G;G;D;C;5;F;A;C;A;B;B;A;A;A;0;A
4842124641;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4842066524;A;A;A;2;1;3;1;1;1;1;App des lokalen Verkehrsverbundes;4;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;2;2;2;1;1;1;2;1;2;1;2;2;1;1;1;1;1;1;3;2;1;1;4;1;1;4;2;2;6;3;3;5;5;5;5;1;1;7;4;1;6;3;1;3;5;5;1;5;5;B;B;A;D;B;C;E;E;G;G;B;0;A;F;F;B;B;B;B;B;A;0;A
4842045328;A;A;A;7;1;6;7;4;1;7;GoogleMaps;7;6;6;3;4;7;2;5;5;7;7;7;6;6;6;6;5;5;5;6;6;6;7;5;5;5;5;5;5;5;5;6;7;3;5;5;5;3;5;4;4;4;5;2;2;6;6;5;7;4;5;4;5;5;4;6;6;5;5;6;5;5;5;5;5;5;6;6;4;4;6;4;5;4;4;4;4;4;4;4;4;4;3;3;3;3;3;2;3;3;4;3;4;4;6;6;5;5;5;5;5;1;1;2;7;5;1;7;1;2;2;1;2;2;3;B;A;D;D;B;D;F;B;E;C;F;2;B;B;C;A;B;B;A;A;A;50;A
4842022020;A;A;B;4;1;1;1;1;1;1;GoogleMaps;2;5;5;5;5;5;5;4;5;5;;5;5;5;5;5;5;5;4;4;5;4;4;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;4;5;5;5;5;4;5;4;5;5;4;5;4;4;5;5;5;4;5;5;5;5;5;5;4;4;4;5;4;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;4;4;3;3;4;4;4;4;3;3;5;4;4;5;5;5;5;1;1;2;3;7;3;4;1;1;1;2;3;4;5;C;B;C;D;B;C;C;C;D;C;D;7;B;F;D;B;B;B;A;A;A;30;A
4842018374;A;A;A;5;1;1;2;3;1;4;GoogleMaps;5;6;6;6;2;5;1;1;2;7;3;3;6;6;6;6;6;6;6;4;6;7;5;6;5;5;5;5;4;4;7;5;5;5;6;6;6;5;6;4;3;4;5;1;1;4;4;5;3;3;3;6;5;6;4;6;4;6;6;5;4;5;6;6;4;3;4;4;4;3;4;3;3;5;4;4;2;3;4;3;4;3;4;2;4;4;1;1;4;2;4;4;3;3;6;6;6;5;5;5;5;5;1;1;1;7;3;1;1;1;2;1;1;3;1;E;B;B;H;A;B;A;G;G;G;H;0;B;G;E;B;B;B;A;A;B;0;A
4841941168;A;A;A;7;1;1;1;3;1;7;GoogleMaps;7;5;6;6;6;7;7;6;6;6;1;6;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;1;1;1;6;7;6;7;6;7;6;6;7;5;7;5;6;5;6;6;7;6;6;6;6;6;7;6;5;5;6;6;6;6;6;5;6;3;3;3;6;6;6;6;6;3;4;1;1;6;1;7;5;5;5;5;3;3;1;4;1;3;1;5;5;1;1;3;7;7;4;5;5;5;5;5;5;6;2;5;6;1;1;2;3;3;2;5;5;C;B;B;D;B;C;A;A;C;C;D;3;A;A;B;B;B;B;A;A;A;10;A
4841913762;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4841909097;A;A;A;7;5;6;7;6;3;4;Karten;7;7;7;6;4;6;5;6;5;6;7;5;5;5;6;4;5;5;6;5;4;5;5;6;7;5;5;5;7;5;4;6;6;5;5;5;6;6;3;7;6;5;5;5;4;6;6;5;6;5;5;6;6;5;6;6;6;5;6;5;5;5;5;6;5;6;4;3;5;3;6;6;4;5;5;5;6;5;4;4;3;5;4;4;3;3;2;3;3;4;3;2;4;5;2;4;6;4;5;4;2;3;4;6;6;5;5;7;7;2;2;2;2;1;1;B;A;B;D;B;B;C;E;D;C;B;7;D;C;E;B;A;A;B;B;B;30;A
4841902760;A;A;A;7;1;6;6;2;1;7;GoogleMaps;7;5;6;6;3;6;6;6;6;7;6;6;6;5;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;6;6;6;6;3;5;3;5;6;6;6;6;5;3;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;3;3;3;3;3;3;3;2;2;2;2;3;2;6;4;4;4;4;4;2;2;2;2;4;4;4;4;4;4;2;6;6;6;5;5;5;5;5;1;5;6;7;3;3;1;2;1;2;1;3;3;C;B;D;D;A;C;B;E;D;C;D;1;A;E;B;A;A;B;A;A;A;30;A
4841899059;A;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4841895630;A;A;A;3;1;5;3;1;1;5;Offi;5;6;3;4;6;6;6;6;6;7;7;7;7;6;7;6;7;7;7;6;7;7;7;7;7;7;7;5;5;5;6;6;6;6;6;6;6;6;6;6;7;6;7;3;4;7;6;7;7;7;7;7;6;6;6;7;7;7;7;7;7;6;7;7;4;4;7;7;6;7;7;1;2;2;4;6;4;6;4;4;4;4;2;2;3;3;3;4;5;5;5;4;5;4;5;6;6;5;5;5;5;1;1;1;7;2;1;1;1;1;2;3;1;4;4;F;B;D;E;B;B;A;A;C;D;C;7;A;A;B;A;B;B;A;A;B;10;A
4841890511;A;A;A;6;2;1;3;6;1;6;Karten;6;5;4;2;3;2;3;2;2;4;3;1;3;2;5;2;3;4;7;4;3;3;4;5;6;5;7;2;3;5;6;4;5;3;5;7;2;6;4;4;4;2;5;7;6;5;4;6;7;6;7;7;7;6;6;5;6;6;7;5;6;6;7;7;7;7;5;3;4;4;3;2;2;3;3;6;4;4;3;4;3;4;5;4;3;5;3;4;4;5;4;5;4;5;6;7;5;5;5;5;5;5;5;4;7;5;6;3;1;5;5;4;4;5;4;C;B;C;D;B;D;A;B;D;C;C;4;B;A;B;A;B;A;A;A;B;30;A
4841866165;A;A;A;5;1;4;1;1;1;6;GoogleMaps;6;5;5;4;6;7;2;6;6;7;7;7;7;5;6;7;7;5;6;7;7;7;7;7;5;6;6;7;7;7;5;5;6;3;3;3;4;2;2;4;4;6;5;3;2;2;5;3;6;6;5;3;7;5;5;7;7;6;6;7;6;6;5;6;4;4;5;6;6;4;6;2;1;2;4;2;2;5;5;4;4;5;1;1;2;4;5;4;4;4;5;5;5;4;2;5;3;5;5;5;5;1;1;1;7;1;2;2;1;1;2;1;1;5;5;B;B;C;C;A;A;B;A;D;C;C;7;A;B;B;A;B;B;A;B;B;30;A
4841852636;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4841842268;A;A;A;7;1;4;1;1;1;7;GoogleMaps;7;7;7;7;5;7;6;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;5;6;5;5;6;7;6;7;5;6;6;6;6;6;7;7;7;7;7;6;7;6;6;6;7;7;7;7;6;7;7;7;6;7;5;7;6;6;7;7;5;5;5;5;5;1;1;1;7;6;6;7;4;4;4;4;1;1;4;2;4;3;3;5;4;4;3;5;5;7;6;5;5;5;5;1;1;4;4;7;2;2;1;5;1;1;2;1;1;B;B;B;D;B;D;B;B;D;C;D;2;A;A;C;A;B;B;A;A;A;30;A
4841823946;A;A;A;1;1;7;7;7;1;7;Offi;7;6;1;3;1;1;7;1;1;2;1;1;1;1;1;1;1;1;1;6;5;6;7;7;5;6;3;2;5;2;5;1;1;2;7;7;1;2;2;1;4;1;7;3;3;7;7;3;4;2;2;4;7;3;5;3;1;4;7;2;4;7;4;3;2;4;4;2;6;5;1;2;4;1;5;4;2;1;3;4;1;2;1;5;2;1;2;5;3;1;1;1;1;2;4;4;4;5;4;5;3;1;1;5;7;1;1;1;1;1;1;1;1;1;1;A;A;C;C;A;B;A;A;C;A;C;7;C;F;B;A;B;B;B;B;A;10;A
4841822561;A;A;A;4;1;4;4;2;1;2;GoogleMaps;4;5;5;3;4;4;3;4;4;6;6;6;6;6;6;6;6;6;6;6;7;6;6;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;6;6;6;6;5;1;4;4;4;5;5;5;6;6;5;5;5;5;6;5;5;6;4;4;4;4;4;4;3;3;4;2;3;3;4;5;3;5;5;5;3;4;4;4;3;2;3;2;3;3;3;3;2;3;3;3;5;6;5;5;5;5;5;5;5;7;5;5;4;2;1;2;3;1;1;2;1;E;B;D;G;B;D;A;G;G;G;H;0;F;F;F;A;B;B;A;A;A;0;A
4841794431;A;A;A;6;1;3;3;1;3;6;Karten;6;6;6;2;7;5;4;3;5;6;4;6;6;6;6;6;6;6;6;6;7;6;6;6;6;7;6;6;6;4;6;6;6;2;4;5;6;4;6;4;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4841794268;A;A;A;2;1;1;1;1;1;2;GoogleMaps;3;6;4;3;5;5;2;2;4;6;6;6;5;5;5;6;6;6;5;5;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;5;6;5;5;6;6;6;5;5;5;5;5;5;6;5;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;5;6;6;5;5;5;4;5;4;5;4;4;4;4;4;4;4;4;2;3;3;3;2;2;3;2;3;5;4;5;5;5;4;5;1;1;3;7;2;1;1;1;1;1;1;3;3;E;B;C;E;B;F;B;A;D;B;D;4;C;C;D;B;B;B;A;A;A;30;A
4841790038;A;A;A;7;1;7;5;3;4;5;GoogleMaps;7;5;5;5;4;6;4;4;5;6;6;7;7;6;7;2;7;7;6;6;7;6;7;5;5;5;5;5;5;5;6;6;6;5;5;4;5;4;4;5;5;5;7;5;4;6;5;6;7;7;6;6;5;5;4;5;7;7;6;7;4;5;6;7;4;5;4;4;4;4;4;1;1;2;1;4;1;4;4;4;3;4;2;1;2;2;2;3;3;3;2;3;2;1;6;6;5;5;5;5;5;1;1;4;7;1;5;2;1;1;3;2;3;4;3;D;B;B;D;A;B;B;A;D;E;C;1;A;A;B;A;B;B;B;B;A;30;A
4841788987;A;A;A;3;1;5;1;2;2;3;App des lokalen Verkehrsverbundes;5;6;5;4;4;7;2;4;4;6;6;6;5;6;5;6;3;5;5;3;6;6;6;5;5;5;5;4;4;4;4;6;5;5;5;4;5;2;3;5;4;5;5;1;1;5;5;4;5;3;4;6;5;4;3;5;4;5;5;4;5;5;6;5;4;1;3;3;2;1;3;3;3;2;1;3;1;4;2;3;4;3;1;1;3;1;3;3;4;3;4;4;4;3;5;4;4;5;5;5;5;5;1;4;6;5;2;1;1;1;2;1;2;4;3;C;B;D;D;B;E;E;A;D;D;C;7;B;A;B;A;B;B;A;A;A;30;A
4841780530;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4841772810;A;A;A;3;1;4;1;1;1;3;App des lokalen Verkehrsverbundes;4;6;2;2;6;6;2;6;5;6;6;6;6;6;6;6;7;6;6;3;7;6;6;6;6;5;6;4;4;4;6;5;6;6;5;7;6;7;6;5;5;5;5;2;3;5;5;6;6;6;5;6;5;6;4;5;6;6;6;5;5;6;5;5;4;4;6;5;4;4;4;5;5;6;1;2;2;5;5;4;4;4;1;1;2;2;2;4;4;4;5;4;4;2;2;6;6;5;5;4;3;5;1;1;7;1;4;1;1;1;2;1;1;5;4;F;B;C;D;A;B;A;A;C;B;C;2;A;A;A;A;B;B;A;B;B;10;A
4841759453;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
